Date,Day of the week,App,Minutes,Category
8/24,Thursday,TIKTOK,101,Entertainment
8/24,Thursday,INSTAGRAM,43,Social Media
8/24,Thursday,MESSAGES,17,Social Media
8/24,Thursday,YOUTUBE,10,Entertainment
8/24,Thursday,PHOTOS,9,Entertainment
8/24,Thursday,CALCULATOR,9,Education
8/25,Friday,TIKTOK,66,Entertainment
8/25,Friday,INSTAGRAM,28,Social Media
8/25,Friday,MAPS,21,Travel
8/25,Friday,MESSAGES ,4,Social Media
8/25,Friday,CALCULATOR,4,Education
8/25,Friday,ASSOCIATE,4,Other
8/26,Saturday,TIKTOK,123,Entertainment
8/26,Saturday,INSTAGRAM,72,Social Media
8/26,Saturday,MESSAGES,16,Social Media
8/26,Saturday,YOUTUBE,9,Entertainment
8/27,Sunday,TIKOK,101,Entertainment
8/27,Sunday,INSTAGRAM,77,Social Media
8/27,Sunday,CLASH OF CLANS,15,Entertainment
8/27,Sunday,MESSAGES,9,Social Media
8/27,Sunday,SAFARI,4,Education
8/28,Monday,TIKTOK,55,Entertainment
8/28,Monday,MESSAGES,26,Social Media
8/28,Monday,INSTAGRAM,24,Social Media
8/28,Monday,CLOCKIFY,15,Other
8/28,Monday,SAFARI,7,Education
8/28,Monday,CALCULATOR,7,Education
8/28,Monday,BRAINLY,3,Education
8/29,Tuesday,TIKTOK,63,Entertainment
8/29,Tuesday,MESSAGES,47,Social Media
8/29,Tuesday,INSTAGRAM,44,Social Media
8/29,Tuesday,SPOTIFY,11,Entertainment
8/30,Wednesday,YOUTUBE,45,Entertainment
8/30,Wednesday,MESSAGES,40,Social Media
8/30,Wednesday,INSTAGRAM,39,Social Media
8/30,Wednesday,TIKTOK,29,Entertainment
8/31,Thursday,SETTINGS,27,Education
8/31,Thursday,MESSAGES,24,Social Media
8/31,Thursday,TIKTOK,24,Entertainment
