Timestamp,Age,exercise
4/2/2023 9:17:21,18 or older,120
4/2/2023 11:04:07,18 or older,30
4/2/2023 13:20:26,18 or older,60
4/2/2023 13:45:13,18 or older,180
4/2/2023 13:45:25,18 or older,5
4/2/2023 14:29:10,18 or older,300
4/2/2023 14:33:28,18 or older,160
4/2/2023 14:44:34,18 or older,10
4/2/2023 16:44:09,under 18,180
4/2/2023 16:52:26,under 18,50
4/2/2023 16:54:31,under 18,120
4/2/2023 17:08:26,under 18,20
4/2/2023 17:28:56,under 18,240
4/2/2023 17:30:45,under 18,720
4/2/2023 18:00:29,under 18,180
4/2/2023 18:09:03,18 or older,45
4/2/2023 19:58:01,18 or older,240
4/2/2023 21:52:47,18 or older,180
4/2/2023 21:53:07,18 or older,150
4/2/2023 21:53:11,18 or older,180
4/3/2023 3:34:37,18 or older,10
4/3/2023 9:33:41,18 or older,8
4/3/2023 9:33:55,under 18,2
4/3/2023 9:36:57,18 or older,120
4/3/2023 9:38:17,18 or older,120
4/3/2023 9:40:21,18 or older,7
4/3/2023 9:40:46,under 18,5
4/3/2023 9:41:53,18 or older,300
4/3/2023 9:45:45,18 or older,60
4/3/2023 9:49:02,18 or older,450
4/3/2023 10:11:43,under 18,0
4/3/2023 11:21:27,18 or older,900
4/3/2023 11:23:59,18 or older,120
4/3/2023 11:24:00,18 or older,650
4/3/2023 11:24:03,18 or older,500
4/3/2023 11:24:08,18 or older,230
4/3/2023 11:24:09,under 18,60
4/3/2023 11:24:12,under 18,200
4/3/2023 11:24:24,18 or older,100
4/3/2023 11:24:29,18 or older,100
4/3/2023 11:24:35,18 or older,100
4/3/2023 11:24:41,18 or older,2
4/3/2023 11:24:44,under 18,400
4/3/2023 11:25:02,under 18,120
4/3/2023 11:25:10,18 or older,780
4/3/2023 11:25:22,under 18,100
4/3/2023 11:25:24,18 or older,400
4/3/2023 11:25:27,18 or older,150
4/3/2023 11:25:28,18 or older,300
4/3/2023 11:25:36,18 or older,300
4/3/2023 11:25:46,18 or older,0
4/3/2023 11:25:48,18 or older,30
4/3/2023 11:25:51,18 or older,320
4/3/2023 11:25:58,18 or older,100
4/3/2023 11:26:05,18 or older,150
4/3/2023 11:26:17,18 or older,120
4/3/2023 11:26:30,18 or older,200
4/3/2023 11:26:36,18 or older,200
4/3/2023 11:26:47,under 18,500
4/3/2023 11:26:47,under 18,360
4/3/2023 11:26:49,18 or older,540
4/3/2023 11:26:56,18 or older,200
4/3/2023 11:26:57,under 18,120
4/3/2023 11:27:03,under 18,120
4/3/2023 11:27:09,18 or older,700
4/3/2023 11:27:24,under 18,300
4/3/2023 11:27:44,under 18,30
4/3/2023 11:29:38,18 or older,300
4/3/2023 11:29:44,under 18,200
4/3/2023 11:29:50,18 or older,500
4/3/2023 11:29:55,18 or older,900
4/3/2023 11:30:02,18 or older,1000
4/3/2023 11:30:09,18 or older,900
4/3/2023 11:30:15,18 or older,900
4/3/2023 11:32:15,under 18,70
4/3/2023 11:33:42,18 or older,300
4/3/2023 11:33:47,under 18,100
4/3/2023 11:33:52,18 or older,300
4/3/2023 11:33:57,18 or older,400
4/3/2023 11:34:04,18 or older,900
4/3/2023 11:34:11,18 or older,900
4/3/2023 11:34:18,18 or older,900
4/3/2023 11:34:23,18 or older,900
4/3/2023 11:34:31,18 or older,900
4/3/2023 11:34:37,18 or older,1000
4/3/2023 11:34:49,18 or older,700
4/3/2023 11:35:00,under 18,60
4/3/2023 11:35:21,under 18,180
4/3/2023 11:35:30,18 or older,150
4/3/2023 11:35:36,under 18,30
4/3/2023 11:35:47,18 or older,20
4/3/2023 11:35:52,under 18,20
4/3/2023 11:38:41,18 or older,1
4/3/2023 11:38:56,18 or older,3
4/3/2023 11:38:59,18 or older,2
4/3/2023 11:39:51,18 or older,600
4/3/2023 11:40:26,under 18,180
4/3/2023 11:40:57,under 18,120
4/3/2023 11:41:09,under 18,420
4/3/2023 11:42:09,18 or older,500
4/3/2023 11:42:17,18 or older,100
4/3/2023 11:42:45,under 18,7
